fonte_de_recursos,valor_despesas,indice_despesas,nome_despesas
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,70938825.07,31901613,HORA EXTRA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,14101579.29,31901616,DESPESAS EVENTUAIS DE PESSOAL CIVIL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,884643.35,31909208,DESP.DE EXERC.ANTERIORES- PESSOAL REQUISITAD
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,874463444.64,31909226,VENC. E VANTAGENS FIXAS DE EXERC. ANTERIORES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,38249168.95,31909227,INATIVOS DE EXERCíCIOS ANTERIORES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,92275.91,31909228,PENSIONISTAS DE EXERCICIOS ANTERIORES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,9251052.68,31909229,ENCARGOS SOCIAIS DE EXERCICIOS ANTERIORES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,5209164.95,31909412,INDENIZ.POR DEMISSAO DE SERVID.OU EMPREG.
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,8126920.82,31909413,DESP.COM INCENTIVO A DEMISSAO VOLUNTARIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,815554.59,31909416,OUTRAS INDENIZACOES DE PESSOAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,179185129.36,31909434,REEMB.FERIAS-OUTRO PODER E MIN.PUBL.-ATIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,7546621.21,31909435,REMB.FERIAS-OUTRO PODER E MIN.PUBLI-INATIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,130383682.77,31909601,RESSARC. DESP. PESS.REQUISITADO DE EMPRESAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,61584.81,31909602,RESSARC.DESP.PESS.REQUISITADO-OUTROS PODERES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2393024.09,31909603,RESSARC. DESP.PESS.REQUISITADO-OUTRAS ESFERA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,4899509.0,31910701,CONTRIBUICAO PATRONAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,100.0,31910843,AUXíLIO-RECLUSãO (LC 1.012/07)
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,812418674.11,31911113,VENCIMENTOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,6968315732.98,31911301,CONTRIB PATRONAL-SAO PAULO PREVIDENCIA-SPPRE
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,21706490260.05,31911302,CONTRIB ESTADO P/COBERTURA INSUF FIN-SPPREV
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,193632144.59,31911305,OBRIGACOES PATRONAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2516126.0,31911617,OUTRAS DESPESAS VARIAVEIS-PESSOAL CIVIL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,15337268.65,31919224,DESPESAS DE PESSOAL DE EXERCíCIOS ANTERIORES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,630359.87,31919417,INDENIZACOES DE PESSOAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11090925359.74,32902110,JUROS SOBRE A DIVIDA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,753598844.34,32902121,JUROS S/A DIVIDA EXTERNA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,132.16,32902201,ENCARGOS COM INSTITUICOES FINANCEIRAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,128189839.92,32902210,OUTROS ENCARGOS S/A DIVIDA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,19552559.62,32902221,ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,38778608.6,32912110,JUROS SOBRE A DIVIDA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,15748535.75,32912121,JUROS S/A DIVIDA EXTERNA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,838184.31,32912210,OUTROS ENCARGOS S/A DIVIDA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,432812.19,32912221,ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,139672563.97,33403001,TRANSF.PARA MATERIAL DE CONSUMO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,590066086.89,33403347,TRANSPORTE ESCOLAR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,233543382.98,33403901,TRANSFERENCIAS PARA SERVICOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,93020014.31,33413001,TRANSFERENCIAS PARA MATERIAL DE CONSUMO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,21996246.03,33413901,TRANSFERENCIAS PARA SERVICOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,157151462.2,33413999,OUTROS SERVICOS DE TERCEIROS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,10977639.36,33503977,CONVENIOS C/ENTID.PRIVADAS S/FINS LUCRATIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,627051.26,33504104,CONTR.A ENT.PRIVAD.S/FINS LUCRATIV  EXERC.AN
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,426899500.0,33504106,CONTR.A APM-PDDE PAULISTA-LEI 17.149/2019
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,411000.0,33504372,LEITO-DIA                 EXERCICIO ANTERIOR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,249860206.69,33504374,CONV.C/UNIV.E FACULD.S/FINS LUCRATIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,555839279.93,33504376,SUBVENCOES A ENTIDADES DE SAUDE
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,277228323.77,33504379,CONVENIOS COM ORGANIZACOES SOCIAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,69417094.94,33504381,TERMO DE COLABORACAO COM ORGS.SOCIEDADE CIVI
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,4204440.0,33504382,TERMO DE FOMENTO COM ORGS.DA SOCIEDADE CIVIL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1047348578.96,33504390,OUTRAS SUBVENCOES SOCIAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2360000.0,33604504,SUBVENCOES ECONOMICAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,64364546.0,33674505,CONTRAP.PECUN.P/PREST.SERV.EM CONC.PATROC.PP
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,309408315.87,33678301,CONTRAP.PECUN.P/PREST.SERV.EM CONCES.ADM.PPP
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,97295453.5,33704110,TRANSF.A INST.MULTIGOVERN.NACIONAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13179143.71,33900810,AUXILIO-CRECHE E AUXILIO-ESCOLA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1555822.51,33900841,AUXILIO FUNERAL - OUTROS PODERES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,30374820.44,33900842,AUXILIO FUNERAL - PODER EXECUTIVO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,363211.29,33900844,AUXILIO FUNERAL - OUTROS PODERES - INATIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1830565.87,33900845,AUXILIO FUNERAL - PODER EXECUTIVO - INATIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,14670.06,33900846,AUXILIO SAUDE - OUTROS PODERES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,94681133.69,33901401,DIARIAS PESSOAL CIVIL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,37998996.56,33901403,DIARIA ESPEC.JORNADA EXTR. TRAB.PENITENCIARI
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,977961.58,33901404,DIARIA ESP.JOR.EXTR.TRAB.POL.CIVIL-LC 1280/1
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,3077255.9,33901416,DIARIAS NO EXTERIOR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13544195.09,33901501,DIARIAS PESSOAL MILITAR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,625338.77,33901502,DIARIAS MILITAR-EM SERVS.DE SEGURANCA PESSOA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,212550311.23,33901503,DIARIA ESP JORN EXT TRAB POL. MILITAR-DEJEM
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32286172.11,33901801,AUXILIO FINANCEIRO A ESTUDANTES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,105439812.78,33901803,AUX.FIN.A ESTUD.CONCEDIDO PELAS UNIV.PAULIST
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,953964583.44,33902001,AUXILIO FINAN.A PESQUISADORES-PESQ.INDIVIDUA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,12682.32,33902002,AUXíLIO FINAN.A PESQUISADORES-PESQ.COLETIVA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,523514290.17,33903010,GENEROS ALIMENTICIOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,10192934.17,33903011,GENEROS ALIMENTICIOS PPAIS - LEI 14.591/11
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,4824986.5,33903012,"MATERIAL DE CAMA, MESA E BANHO"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,9800861.2,33903013,"MATERIAL E UTENS.P/REFEITORIO,COPA E COZINHA"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,8628176.33,33903014,MATERIAL DE LIMPEZA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,49398768.26,33903015,ARTIGOS DE HIGIENE PESSOAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,7809052.89,33903016,MATERIAL DE ACONDICIONAMENTO E EMBALAGEM
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,502407.55,33903019,LUBRIFICANTE AUTOMOTIVO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,415638.71,33903021,GASOLINA AUTOMOTIVA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2727135.58,33903022,DIESEL AUTOMOTIVO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1400435.43,33903023,ETANOL AUTOMOTIVO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,47550523.59,33903024,OUTROS COMBUSTIVEIS E LUBRIFICANTES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,47084865.09,33903025,GASOLINA AUTOMOTIVA-REEMBOLSO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,545124.55,33903026,CESTAS BASICAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,120031554.75,33903027,ETANOL AUTOMOTIVO-REEMBOLSO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,24932918.06,33903028,DIESEL AUTOMOTIVO-REEMBOLSO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,6629587.79,33903029,OUTROS COMBUSTIVEIS E LUBRIFICANTES-REEMBOLS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,898943332.33,33903030,MEDICAMENTOS E INSUMOS FARMACEUTICOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,349729881.58,33903031,"MATERIAL MEDICO,HOSPITALAR E ODONTOLOGICO"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,96189907.15,33903032,MATERIAL DE USO LABORATORIAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1935037.24,33903034,MATERIAL DE USO VETERINARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,455330118.65,33903035,MEDICAMENTOS FORNECIDOS POR DECISãO JUDICIAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,80967666.94,33903036,OUT.MAT.CONS.DECORRENTE DE DECISAO JUDICIAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1933640.3,33903039,MATERIAL ESPORTIVO E DE LAZER
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,20448357.96,33903040,MATERIAL EDUCATIVO E CULTURAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,18397968.93,33903041,MATERIAL DE ESCRITORIO PAPELARIA E IMPRESSOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,419456.53,33903042,MATERIAL PARA FOTOGRAFIA E FILMAGEM
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,16832787.58,33903043,"LIVROS P/BIBLIO.PUBLI,MAPAS,OUTRAS PUBLICACA"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,326494.14,33903044,"BANDEIRAS, FLAMULAS, INSIGNIAS"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,48856587.11,33903050,PECAS DE REPOSICAO E ACESSORIOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,589970.0,33903051,FERRAM.AVULSAS NAO ACION.P/FORCA MOTRIZ
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,14631530.28,33903052,MATERIAL P/ CONSERVACAO E MANUT. DE IMOVEIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,4040873.51,33903053,PECAS E ACESSORIOS PARA VIATURAS POLICIAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,5798938.17,33903054,MATERIAL INSTALACAO ELETRICA E ELETRONICA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,12242620.32,33903055,MATERIAL PARA TELECOMUNICACOES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,12392879.53,33903060,MATERIAIS E SUPRIMENTOS DE INFORMATICA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11575407.14,33903061,PECAS E ACESSOR.E COMPONENTES DE INFORMATICA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,35528253.0,33903062,MUNICOES E EXPLOSIVOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,41104339.03,33903063,"FARDAMENTO,VESTUARIO,UNIFOR,TECIDO, AVIAMENT"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,5172150.19,33903064,PECAS P/VIATURAS PELO REGIME DE ADIANTAMENTO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,601304.48,33903065,PECAS E ACESS.P/VIATURAS ESCOLTA/CUSTODEADOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13769939.69,33903066,MATERIAL PROT.SEGUR.SOCORRO E SOBREVIVENCIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,335651.66,33903080,"ANIMAIS PARA ABATE,EXPERIMENTO E SEMEM"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,9699575.42,33903081,ALIMENTOS PARA ANIMAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,708813.73,33903082,SEMENTES E MUDAS DE PLANTAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,63031062.34,33903090,OUTROS MATERIAIS DE CONSUMO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,45542050.4,33903101,PREMIO EM PECUNIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,200032.61,33903102,OUTRAS PREMIACOES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,18001236.37,33903295,MATERIAL OU BEM PARA DISTRIBUICAO GRATUITA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1476753.15,33903340,REGIME DE QUILOMETRAGEM
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,15593392.29,33903342,PASSAGENS AEREAS        EXERCICIO ANTERIOR.
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,79663726.15,33903343,"LOCACAO DE VEICULOS,AERONAVES E OUTROS"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,56401239.99,33903344,VALE-TRANSPORTE
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,67277537.97,33903345,OUTRAS DESP.C/TRANSPORTES E LOCOMOCAO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,18427016.8,33903346,LOCOMOCAO DE SERVIDORES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,115971960.59,33903347,TRANSPORTE ESCOLAR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,10520017.36,33903501,"OUTROS SERV.CONSULTORIA,ASSESS.E AUDITORIA"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,645896.96,33903503,SERVICOS DE CONSULTORIA-PESSOA FISICA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,592800.83,33903504,SERVICOS DE CONSULTORIA-PESSOA JURIDICA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2203022.09,33903505,SERVICOS DE CONSULTORIA-ORGANISMO INTERNACIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,18530294.4,33903506,ASSESSORIA DE IMPRENSA E COMUNICACAO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,127241.66,33903507,AUDITORIA EXTERNA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,22983.41,33903509,CONSULTORIA TECNO.DA IMFORMACãO-PJ
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,542677.22,33903512,ENCARG.SOCIAIS E OBRIG.FISCAIS AUDIT/CONS.
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,264880.0,33903603,CONDOMINIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,7634256.63,33903604,MAO DE OBRA DE REEDUCANDOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,69098762.95,33903611,OUTRAS REMUNERACOES DE SERVICOS PESSOAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,5949608.38,33903612,ENCARGOS SOCIAIS E OBRIGACOES FISCAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,23920772.46,33903613,ESTAGIARIOS DIRETAMENTE CONTRATADOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,6541429.71,33903614,"MONITORES, FISCAIS E EXAMINADORES"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2935022.43,33903616,AJUDA DE CUSTO A COLABORADORES EVENTUAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,6000.0,33903619,HONORARIOS ADVOCAT. ASSIST. JUDICIARIA COMPL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,196432.18,33903622,MANUT.E CONSERV. DE BENS IMOVEIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,159412.03,33903623,JETON
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,221260125.56,33903624,BOLSA PARA MEDICOS RESIDENTES
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11646.8,33903625,"CURSOS, PALESTRAS"
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,3077395.91,33903626,SERVICOS TECNICOS E ESPECIALIZADOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,429715.0,33903628,HONORARIOS DE CAMARA DE ARBITRAGEM
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,888867.68,33903631,SERVICOS DE APOIO AO ENSINO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,5404.0,33903632,MANUT.E CONSERV.DE EQUIP.DE PROCES.DE DADOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,47595.73,33903633,SERVIçOS TéCNICOS DE PROFISSIONAIS DE TI
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,785.0,33903673,FORNEC.ALIMENTACAO PREPARADA-OUTROS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31555445.81,33903691,LOCACAO DE IMOVEIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,7022.63,33903699,SERVICOS DIVERSOS DE CONSERVACAO E MANUTENCA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,537483152.07,33903795,SERVICOS DE VIGILANCIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,647433835.51,33903796,SERVICOS DE LIMPEZA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,101272522.05,33903799,OUTROS SERVICOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,19860606.12,33903903,CONDOMINIOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1322264077.58,33903906,VALE-REFEICAO/ALIMENT. A SERV/EMPREGADOS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,96557608.46,33903907,SERV.DE FORNEC.E DISTRIBUICAO DE LEITE
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13411.25,33903912,SERV.PROGRAMAS E APLIC.INFORMATICA TRANSF88
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,24745482.35,33903914,EXAMES LABORATORIAIS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,39062271.88,33903915,LOC.DE MAQ. REPROGRAFICAS S/MAO DE OBRA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,15682277.0,33903916,GAS MEDICINAL (SERV.DE FORNEC. E LOCACAO)
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13396717.92,33903918,PROPAGANDA/PUBLICIDADE
